Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,11,106104,0.74856,None,[0.0001],None
train,11,106326,0.565511,None,[0.0001],None
train,11,106548,0.674928,None,[0.0001],None
train,11,106770,0.671163,None,[0.0001],None
train,11,106992,0.681263,None,[0.0001],None
train,11,107214,0.769203,None,[0.0001],None
train,11,107436,0.624392,None,[0.0001],None
train,11,107658,0.712698,None,[0.0001],None
train,11,107658,0.712698,0.504104694,[0.0001],None
val,11,None,0.694865662,0.496687063,None,0.17354885
train,12,108000,0.687502,None,[0.0001],None
train,12,108222,0.742777,None,[0.0001],None
train,12,108444,0.686282,None,[0.0001],None
train,12,108666,0.524949,None,[0.0001],None
train,12,108888,0.628905,None,[0.0001],None
train,12,109110,0.583066,None,[0.0001],None
train,12,109332,0.691179,None,[0.0001],None
train,12,109554,0.609681,None,[0.0001],None
train,12,109776,0.648009,None,[0.0001],None
train,12,109998,0.664756,None,[0.0001],None
train,12,110220,0.660645,None,[0.0001],None
train,12,110442,0.655487,None,[0.0001],None
train,12,110664,0.61972,None,[0.0001],None
train,12,110886,0.63366,None,[0.0001],None
train,12,111108,0.630727,None,[0.0001],None
train,12,111330,0.685688,None,[0.0001],None
train,12,111552,0.743838,None,[0.0001],None
train,12,111774,0.726045,None,[0.0001],None
train,12,111996,0.684862,None,[0.0001],None
train,12,112218,0.710112,None,[0.0001],None
train,12,112440,0.598235,None,[0.0001],None
train,12,112662,0.614283,None,[0.0001],None
train,12,112884,0.700534,None,[0.0001],None
train,12,113106,0.74678,None,[0.0001],None
train,12,113328,0.659512,None,[0.0001],None
train,12,113550,0.627741,None,[0.0001],None
train,12,113772,0.710905,None,[0.0001],None
train,12,113994,0.544971,None,[0.0001],None
train,12,114216,0.731091,None,[0.0001],None
train,12,114438,0.592351,None,[0.0001],None
train,12,114660,0.579647,None,[0.0001],None
train,12,114882,0.741071,None,[0.0001],None
train,12,115104,0.607686,None,[0.0001],None
train,12,115326,0.706708,None,[0.0001],None
train,12,115548,0.656057,None,[0.0001],None
train,12,115770,0.617738,None,[0.0001],None
train,12,115992,0.63364,None,[0.0001],None
train,12,116214,0.677809,None,[0.0001],None
train,12,116436,0.722731,None,[0.0001],None
train,12,116658,0.71503,None,[0.0001],None
train,12,116658,0.71503,0.504684521,[0.0001],None
val,12,None,0.680680646,0.497874714,None,0.170002598
train,13,117000,0.585507,None,[0.0001],None
train,13,117222,0.679232,None,[0.0001],None
train,13,117444,0.65347,None,[0.0001],None
train,13,117666,0.817005,None,[0.0001],None
train,13,117888,0.696236,None,[0.0001],None
train,13,118110,0.606039,None,[0.0001],None
train,13,118332,0.737475,None,[0.0001],None
train,13,118554,0.592055,None,[0.0001],None
train,13,118776,0.685616,None,[0.0001],None
train,13,118998,0.685084,None,[0.0001],None
train,13,119220,0.607058,None,[0.0001],None
train,13,119442,0.778509,None,[0.0001],None
train,13,119664,0.682306,None,[0.0001],None
train,13,119886,0.688331,None,[0.0001],None
train,13,120108,0.665798,None,[0.0001],None
train,13,120330,0.775962,None,[0.0001],None
train,13,120552,0.701827,None,[0.0001],None
train,13,120774,0.606131,None,[0.0001],None
train,13,120996,0.599795,None,[0.0001],None
train,13,121218,0.613259,None,[0.0001],None
train,13,121440,0.645802,None,[0.0001],None
train,13,121662,0.629827,None,[0.0001],None
train,13,121884,0.602691,None,[0.0001],None
train,13,122106,0.659304,None,[0.0001],None
train,13,122328,0.563063,None,[0.0001],None
train,13,122550,0.629089,None,[0.0001],None
train,13,122772,0.661798,None,[0.0001],None
train,13,122994,0.754152,None,[0.0001],None
train,13,123216,0.696034,None,[0.0001],None
train,13,123438,0.587906,None,[0.0001],None
train,13,123660,0.68772,None,[0.0001],None
train,13,123882,0.644827,None,[0.0001],None
train,13,124104,0.668638,None,[0.0001],None
train,13,124326,0.6632,None,[0.0001],None
train,13,124548,0.565735,None,[0.0001],None
train,13,124770,0.682894,None,[0.0001],None
train,13,124992,0.707557,None,[0.0001],None
train,13,125214,0.591913,None,[0.0001],None
train,13,125436,0.669802,None,[0.0001],None
train,13,125658,0.655565,None,[0.0001],None
train,13,125658,0.655565,0.489389995,[0.0001],None
val,13,None,0.803251587,0.497627269,None,0.200645324
train,14,126000,0.550827,None,[0.0001],None
train,14,126222,0.567832,None,[0.0001],None
